Mountain,Route,Mileage,Elevation,Route Time
Mt. Yale,East Ridge,10.50 mi,5000',28175
Kit Carson Peak,North Ridge,4.41 mi,3691',27180
Quandary Peak,East Ridge,6.80 mi,3402',18418
Huron Peak,Northwest Slopes,10.89 mi,-,29580
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron counter clockwise,8.60 mi,3415',19080
Mt. Princeton,East Slopes,6.49 mi,3300',13980
Humboldt Peak,West Ridge,12.15 mi,5000',18280
Mt. Elbert,Northeast Ridge,9.50 mi,4700',13200
"Group: Grays, Torreys",Grays Torreys combo,8.00 mi,3600',13020
Torreys Peak,South Slopes,8.20 mi,3100',27900
"Group: Grays, Torreys",Grays and Torreys,8.50 mi,3600',14400
Mt. Bierstadt,West Slopes,7.36 mi,2608',14093
Humboldt Peak,West Ridge,11.30 mi,4300',26340
"Group: Blanca, Ellingwood, Little Bear",little bear to Blanca traverse,4.90 mi,4554',43800
Mt. Massive,Southwest Slopes,8.40 mi,3950',28440
Pikes Peak,Northwest Slopes,14.00 mi,4300',24300
"Ridge Traverse: El Diente, Mt. Wilson",South Slopes,14.00 mi,5000',43200
Mt. Massive,East Slopes,14.00 mi,4500',26891
Mt. Bierstadt,West Slopes,6.90 mi,2729',21420
Quandary Peak,East Ridge,-,-,18300
Wilson Peak,Southwest Ridge,16.00 mi,5000',28260
Mt. Yale,Southwest Slopes,9.50 mi,4300',18900
"Group: Castle, Conundrum",Combo route,8.00 mi,3350',24600
Wilson Peak,Rock of Ages Approach,11.10 mi,3800',31380
El Diente Peak,South Slopes,13.10 mi,4300',33240
Ellingwood Point,South Face,9.90 mi,2450',27300
Blanca Peak,Northwest Ridge,6.60 mi,2700',21840
Mt. Lindsey,Northwest Ridge,9.20 mi,3543',28380
Humboldt Peak,West Ridge,11.00 mi,4200',29220
Culebra Peak,Northwest Ridge,5.50 mi,2700',23580
Mt. Yale,Southwest Slopes,9.50 mi,4300',28440
Mt. Columbia,West Slopes,11.90 mi,4250',31620
Mt. Elbert,East Ridge,10.00 mi,4100',27540
Longs Peak,Keyhole Route,15.00 mi,5200',44220
Huron Peak,Northwest Slopes,6.60 mi,3500',26580
Mt. Sneffels,South Slopes,6.00 mi,2900',21060
"Group: Redcloud, Sunshine",Combo route,10.60 mi,4455',29100
San Luis Peak,South Ridge,11.25 mi,3400',22200
"Group: Challenger, Kit Carson",Combo from willow creek lake,7.10 mi,4496',38100
Missouri Mountain,West Ridge,5.75 mi,3345',20580
La Plata Peak,Northwest Ridge,9.60 mi,4500',28860
"Group: Belford, Oxford",Combo route,11.10 mi,5822',33540
"Group: Democrat, Cameron, Lincoln, Bross",Combo route,7.50 mi,3700',22140
Quandary Peak,East Ridge,6.80 mi,3450',24960
"Group: Grays, Torreys",Grays and Torreys Combo,8.30 mi,3653',18900
Longs Peak,Keyhole Route,-,-,31920
Mt. Bierstadt,West Slopes,7.60 mi,2718',22116
Mt. of the Holy Cross,North Ridge,12.00 mi,5600',41400
Missouri Mountain,Northwest Ridge,10.00 mi,4500',32400
All Colorado 14ers,All 58,442.75 mi,-,6220800
Longs Peak,Keyhole Route,15.00 mi,5100',43200
Mt. Antero,West Slopes,14.20 mi,5200',23400
Humboldt Peak,West Ridge,17.50 mi,4200',34200
"Group: Redcloud, Sunshine, Handies",East Slopes,20.50 mi,8450',38700
Mt. Shavano,East Slopes,-,-,16200
"Group: Challenger, Kit Carson",Standard Route,16.75 mi,6300',28200
"Group: Democrat, Cameron, Lincoln, Bross",Combo,7.25 mi,3700',18000
"Group: Democrat, Cameron, Lincoln, Bross","""The Decalibron""",7.40 mi,3200',25500
Mt. Massive,Southwest Slopes,8.80 mi,4068',22800
Mt. of the Holy Cross,North Ridge,12.60 mi,5100',28800
Mt. Lindsey,Northwest Ridge,8.25 mi,3500',26520
All Colorado 14ers,Torreys south slopes,7.50 mi,3000',16500
Mt. Sherman,Southwest Ridge,6.00 mi,2096',12600
Quandary Peak,East Ridge,6.53 mi,3224',22920
Mt. Sherman,West Slopes from Iowa Gulch,4.85 mi,2131',13860
"Group: Democrat, Cameron, Lincoln, Bross",Link up,6.80 mi,3120',19020
Mt. Massive,Southwest Slopes,9.00 mi,4141',24720
Mt. of the Holy Cross,North Ridge,11.30 mi,5650',26286
Mt. Harvard,South Slopes,14.00 mi,4600',32760
"Group: Shavano, Tabeguache",East Slopes,12.00 mi,5600',26400
Mt. Elbert,East Ridge,12.00 mi,4250',26400
"Group: Grays, Torreys",Combo Grays and Torreys,9.00 mi,3600',19156
North Maroon Peak,Northeast Ridge,9.50 mi,-,22500
Mt. Yale,Southwest Slopes,9.50 mi,4300',11520
Mt. Bierstadt,West Slopes,7.00 mi,-,17763
Ridge Traverse: Maroon Bells,Elk 14er Traverse,55.00 mi,24400',113674
Mt. Antero,Baldwin Gulch,26.00 mi,6800',24780
"Group: Evans, Sawtooth, Bierstadt",Combo,10.00 mi,4298',40380
Huron Peak,Northwest Slopes,6.00 mi,3410',17220
Mt. Bierstadt,West Slopes,7.00 mi,2749',19647
Mt. Bierstadt,West Slopes,7.00 mi,2850',193380
"Group: Belford, Oxford, Missouri",Missouri Oxford Belford Pecks,16.00 mi,7425',31200
"Group: Harvard, Columbia",Harvard and Columbia,8.00 mi,4272',26280
Missouri Mountain,Northwest Ridge,13.00 mi,4417',29220
"Group: Grays, Torreys",COMBO,8.00 mi,3600',20100
Quandary Peak,East Ridge,8.00 mi,3750',19500
"Group: Belford, Oxford, Missouri",Mt. Belford Northwest ridge to Bel/Ox then Elkhead to Missouri,16.00 mi,7272',32880
Mt. Lindsey,Northwest Ridge,9.00 mi,3500',14882
La Plata Peak,Northwest Ridge,9.00 mi,4500',24600
Mt. Belford,Northwest Ridge,8.00 mi,4482',24840
Pikes Peak,Northwest Slopes,14.00 mi,4300',29000
Mt. Elbert,Northeast Ridge,10.00 mi,4700',24000
Culebra Peak,Culebra and Red,7.00 mi,3500',20220
Mt. of the Holy Cross,Halo Ridge,14.00 mi,5600',25200
Mt. Sneffels,South Slopes,6.00 mi,3100',21600
Mt. Sherman,Southwest Ridge,5.00 mi,2200',10800
"Group: Grays, Torreys",Standard,8.00 mi,3800',21600
Mt. Evans,West Ridge from Summit Lake,5.00 mi,2000',15300
Pikes Peak,East Slopes,26.00 mi,7500',46500
Quandary Peak,East Ridge,7.00 mi,3450',20176
"Group: Castle, Conundrum",Combo,14.00 mi,4850',24300
Mt. Elbert,Northeast Ridge,9.00 mi,4039',20730
Mt. of the Holy Cross,North Ridge,11.00 mi,5600',16200
Mt. Bierstadt,West Slopes,7.00 mi,3300',13500
Pikes Peak,East Slopes,24.00 mi,7600',27550
Mt. Bierstadt,West Slopes,7.00 mi,2360',11520
Handies Peak,Southwest Slopes,6.00 mi,3000',26580
"Group: Shavano, Tabeguache",Standard Route,11.00 mi,5800',21600
Mt. Elbert,Northeast Ridge,9.00 mi,4700',19920
Mt. Sherman,Southwest Ridge,5.00 mi,2100',7080
Quandary Peak,East Ridge,6.00 mi,3450',11160
Mt. Bierstadt,West Slopes,7.00 mi,2850',10491
Longs Peak,Keyhole Route,14.00 mi,5100',37800
Crestone Needle,South Face,12.00 mi,4400',28800
Mt. Yale,Southwest Slopes,9.00 mi,4300',19800
Mt. Shavano,East Slopes,9.00 mi,4600',17580
"Group: Blanca, Ellingwood, Little Bear",From 9500â€™,12.00 mi,5430',21480
Culebra Peak,Northwest Ridge,9.00 mi,5450',21000
Mt. Lindsey,Northwest Ridge,8.00 mi,3500',17400
Handies Peak,Southwest Slopes,6.00 mi,2500',13800
Uncompahgre Peak,South Ridge,8.00 mi,3000',13411
Mt. Lindsey,Northwest Ridge,8.00 mi,3500',11700
"Ridge Traverse: Little Bear, Blanca",Little Bear to Blanca,1.00 mi,669',5314
"Group: Evans, Sawtooth, Bierstadt",Bierstadt Evans via Sawtooth,11.00 mi,3940',22680
Quandary Peak,East Ridge,7.00 mi,3272',18780
Pikes Peak,Northwest Slopes,15.00 mi,4861',43260
Mt. Bierstadt,East Ridge,6.00 mi,3000',40818
"Group: Grays, Torreys",Combo: Grays and Torreys,8.00 mi,3000',12600
"Group: Challenger, Kit Carson",Standard,14.00 mi,6250',35100
Pikes Peak,Northwest Slopes,20.00 mi,5702',17918
Mt. Massive,East Slopes,13.00 mi,4250',13783
"Group: Grays, Torreys",Grays  Torreys Combo,8.00 mi,3622',15807
Mt. Princeton,East Slopes,7.00 mi,-,27000
Mt. of the Holy Cross,North Ridge,11.00 mi,5469',19932
Mt. Evans,West Ridge from Summit Lake,5.00 mi,2000',14400
"Group: Belford, Oxford",B1,11.00 mi,5865',37500
Mt. Sherman,Southwest Ridge,4.00 mi,-,6272
Mt. Antero,West Slopes,14.00 mi,4750',13848
"Group: Democrat, Cameron, Lincoln, Bross",Reverse Route,8.00 mi,3362',18840
Torreys Peak,Kelso Ridge,6.00 mi,3100',12480
Pikes Peak,Northwest Slopes,7.00 mi,4300',19800
La Plata Peak,Northwest Ridge,9.00 mi,4500',38700
"Group: Belford, Oxford",Via Mt. Belford,11.00 mi,5800',21720
Mt. Yale,Southwest Slopes,9.00 mi,4300',14700
San Luis Peak,Northeast Ridge,13.00 mi,3600',27720
"Group: Shavano, Tabeguache",East Slopes,11.00 mi,5600',19800
Mt. Princeton,East Slopes,7.00 mi,3236',13500
Mt. Columbia,West Slopes,12.00 mi,4250',25200
Mt. Antero,West Slopes,16.00 mi,6200',36000
Mt. Yale,Southwest Slopes,10.00 mi,4400',19800
Mt. Princeton,East Slopes,6.00 mi,3400',16500
Mt. Bierstadt,West Slopes,7.00 mi,2850',14520
Mt. Princeton,East Slopes,13.00 mi,5400',20820
Mt. Massive,East Slopes,12.00 mi,3789',23028
"Group: Democrat, Cameron, Lincoln, Bross",DeCaliBron,7.00 mi,3504',23400
Mt. Yale,Southwest Slopes,10.00 mi,4300',19200
Pikes Peak,Northwest Slopes,14.00 mi,4300',18780
Mt. Antero,West Slopes,16.00 mi,5200',32580
Mt. Columbia,Southeast Ridge,12.00 mi,4800',18300
"Group: Grays, Torreys",Grays Torreys plus Kelso Ridge,8.00 mi,3600',16200
San Luis Peak,Northeast Ridge,14.00 mi,3600',24300
Mt. Evans,West Ridge from Summit Lake,6.00 mi,2195',18000
Pikes Peak,Northwest Slopes,24.00 mi,-,18000
Mt. Antero,West Slopes,16.00 mi,-,43200
Mt. Sherman,Southwest Ridge,6.00 mi,2666',15540
Mt. Oxford,Via Mt. Belford,11.00 mi,5800',18540
Quandary Peak,East Ridge,6.00 mi,3426',24353
Mt. Elbert,Northeast Ridge,9.00 mi,4700',24905
"Group: Grays, Torreys",North Slopes,8.00 mi,3000',25899
Mt. Bierstadt,West Slopes,7.00 mi,2850',20450
Mt. Elbert,Northeast Ridge,18.00 mi,5000',345600
Culebra Peak,Northwest Ridge,5.00 mi,2750',18180
Pikes Peak,Northwest Slopes,14.00 mi,4472',24969
Pikes Peak,Northwest Slopes,14.00 mi,4300',29162
Mt. Belford,Northwest Ridge,8.00 mi,4500',17880
Mt. Bross,East Slopes from Mineral Park,9.00 mi,2172',18000
Mt. Antero,West Slopes,16.00 mi,5200',34200
Mt. Evans,West Ridge from Echo Lake,-,-,25200
Pikes Peak,Northwest Slopes,16.00 mi,-,30600
Mt. Massive,Southwest Slopes,7.00 mi,3950',28800
Wilson Peak,Southwest Ridge,11.00 mi,3937',22608
Pikes Peak,Northwest Slopes,14.00 mi,4540',17573
Mt. Yale,Southwest Slopes,10.00 mi,4300',25200
Huron Peak,Northwest Slopes,6.00 mi,3500',25200
Mt. Evans,Northeast Face,3.00 mi,1475',14400
La Plata Peak,Southwest Ridge,7.00 mi,3380',28800
Pikes Peak,Northwest Slopes,7.00 mi,1500',18000
Mt. Bierstadt,West Slopes,9.00 mi,3400',18360
Pikes Peak,Northwest Slopes,15.00 mi,4861',44557
Mt. Columbia,Southwest Couloir,13.00 mi,4690',25800
Torreys Peak,Kelso Ridge,14.00 mi,4551',40760
Quandary Peak,East Ridge,6.00 mi,3450',18000
San Luis Peak,Northeast Ridge,13.00 mi,3600',36000
Mt. Cameron,West Ridge,6.00 mi,2600',14400
Mt. Democrat,East Slope,4.00 mi,2150',14400
Mt. Bierstadt,West Slopes,11.00 mi,3600',19980
Quandary Peak,East Ridge,7.00 mi,3450',27900
Grays Peak,North Slopes,15.00 mi,4495',39600
Grays Peak,North Slopes,8.00 mi,3000',25200
Mt. Elbert,Northeast Ridge,9.00 mi,4700',32400
Quandary Peak,East Ridge,7.00 mi,3450',13980
Quandary Peak,East Ridge,7.00 mi,3537',13831
"Group: Grays, Torreys",Kelso Ridge,14.00 mi,4961',30683
Culebra Peak,Northwest Ridge,15.00 mi,5722',35089
Pikes Peak,East Slopes,-,-,18000
Group: Wilson Group (3 named 14ers),Kilpacker Loop,20.00 mi,7900',41580
Mt. Sherman,South Slope,7.00 mi,2854',19858
"Group: Grays, Torreys",Kelso Ridge,11.00 mi,4073',28826
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron and South Bross,11.00 mi,4223',26630
Mt. Bierstadt,West Slopes,11.00 mi,3600',16440
"Group: Grays, Torreys",Kelso Ridge,12.00 mi,4558',28973
"Group: Grays, Torreys",Kelso Ridge,15.00 mi,5512',36606
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron,9.00 mi,4160',23364
Mt. Sneffels,South Slopes,7.00 mi,4600',21600
Redcloud Peak,Northeast Ridge,7.00 mi,3600',14400
Mt. Wilson,East Face,11.00 mi,4900',25200
Grays Peak,North Slopes,13.00 mi,4400',20700
Handies Peak,Southwest Slopes,7.00 mi,4665',19800
Mt. Elbert,Northeast Ridge,11.00 mi,4400',21600
Grays Peak,North Slopes,6.00 mi,2254',30919
Pikes Peak,East Slopes,12.00 mi,7800',22500
Mt. Elbert,East Ridge,14.00 mi,4900',25800
Longs Peak,Keyhole Route,14.00 mi,5300',28800
Longs Peak,Keyhole Route,15.00 mi,5026',23400
Mt. Evans,West Ridge from Summit Lake,-,-,18000
Pikes Peak,East Slopes,24.00 mi,7600',28620
Mt. of the Holy Cross,North Ridge,12.00 mi,5600',36900
Castle Peak,Northeast Ridge,13.00 mi,4600',32400
Sunshine Peak,Via Redcloud Peak,12.00 mi,4800',4380
Redcloud Peak,Northeast Ridge,9.00 mi,3700',13740
Mt. Belford,Northwest Ridge,8.00 mi,4465',19440
Tabeguache Peak,West Ridge,8.00 mi,4000',40500
"Group: Evans, Sawtooth, Bierstadt",Bierstadt Sawtooth Evans,10.00 mi,4000',31500
"Group: Democrat, Cameron, Lincoln, Bross",VIa Bross,7.00 mi,3700',11700
Mt. of the Holy Cross,North Ridge,12.00 mi,5600',28800
Mt. Elbert,Northeast Ridge,10.00 mi,4700',42000
Mt. Oxford,Via Mt. Belford,11.00 mi,5836',22500
Huron Peak,Northwest Slopes,6.00 mi,3500',16200
Mt. Sneffels,South Slopes,15.00 mi,5300',27060
San Luis Peak,Northeast Ridge,13.00 mi,3600',24000
"Group: Democrat, Cameron, Lincoln, Bross",CaLiBron Loop skipped Democrat,6.00 mi,2856',21504
Mt. Belford,Northwest Ridge,8.00 mi,4350',12300
"Group: Belford, Oxford, Missouri",STANDARD FROM  MO gulch,15.00 mi,7300',24300
Tabeguache Peak,West Ridge,8.00 mi,3881',16955
Mt. Wilson,Southwest Slopes,12.00 mi,4400',27900
"Group: Grays, Torreys",Grays and Torreys,10.00 mi,3600',19800
"Group: Challenger, Kit Carson",from crestone,14.00 mi,5800',32640
Quandary Peak,East Ridge,7.00 mi,3369',7200
Huron Peak,Northwest Slopes,6.00 mi,3500',16200
Group: Wilson Group (3 named 14ers),El Diente and Mt Wilson with Traverse from Kilpacker,13.00 mi,4800',33660
Mt. Wilson,Mt. Wilson and El Diente Traverse,1.00 mi,500',5640
Wilson Peak,Southwest Ridge,10.00 mi,3800',24660
Longs Peak,Keyhole Route,16.00 mi,5295',29160
Longs Peak,Keyhole Route,14.00 mi,5200',20460
Castle Peak,Northeast Ridge,12.00 mi,4100',13500
Pikes Peak,East Slopes,24.00 mi,7600',43200
"Group: Democrat, Cameron, Lincoln, Bross",DeCaLiBron,7.00 mi,3700',10516
"Group: Blanca, Ellingwood",blanca ellingwood combo,13.00 mi,6000',172800
Tabeguache Peak,West Ridge,8.00 mi,4300',19800
Mt. Lindsey,Northwest Ridge,8.00 mi,3609',21300
Mt. Columbia,West Slopes,12.00 mi,4250',25200
Pikes Peak,East Slopes,28.00 mi,7969',41280
"Group: Redcloud, Sunshine",Sunshine Peak via Redcloud Peak,12.00 mi,4800',26400
Handies Peak,Southwest Slopes,5.00 mi,2500',11400
"Group: Grays, Torreys",North Slopes,8.00 mi,3600',18900
Longs Peak,Keyhole Route,14.00 mi,5000',19320
"Group: Grays, Torreys",Standard Combo Grays,8.00 mi,3000',11820
"Group: Democrat, Cameron, Lincoln, Bross",DeCaLiBron,8.00 mi,3855',19800
Longs Peak,Keyhole Route,15.00 mi,5800',34825
"Group: Shavano, Tabeguache",Shav/Tab Standard Route,11.00 mi,5366',22918
"Group: Democrat, Cameron, Lincoln, Bross",Combo,7.00 mi,3700',27702
Wilson Peak,Southwest Ridge,10.00 mi,3800',19800
Uncompahgre Peak,South Ridge,7.00 mi,3000',14700
Capitol Peak,Northeast Ridge,17.00 mi,5300',36300
La Plata Peak,Northwest Ridge,7.00 mi,3400',27000
Wetterhorn Peak,Southeast Ridge,8.00 mi,3700',22800
Mt. Bierstadt,West Slopes,8.00 mi,2850',12420
"Group: Evans, Sawtooth, Bierstadt",Bierstadt Sawtooth Evans,10.00 mi,3900',16936
Mt. Harvard,South Slopes,7.00 mi,3400',18600
Mt. Bierstadt,West Slopes,7.00 mi,2789',13320
Crestone Needle,South Face,3.00 mi,2789',10320
"Group: Democrat, Cameron, Lincoln, Bross",Bross then Lincoln then Cameron,8.00 mi,3000',26520
Pyramid Peak,Northeast Ridge,8.00 mi,4500',28800
La Plata Peak,Northwest Ridge,9.00 mi,4500',14520
Mt. Antero,West Slopes,7.00 mi,2300',7680
Mt. Democrat,East Slope,5.00 mi,3000',18000
Grays Peak,North Slopes,10.00 mi,3000',28800
Mt. Elbert,Northeast Ridge,9.00 mi,4466',15660
Quandary Peak,East Ridge,7.00 mi,3416',14520
Mt. Sherman,Southwest Ridge,5.00 mi,2100',11100
Wetterhorn Peak,Southeast Ridge,-,-,17400
"Group: Grays, Torreys",Kelso Ridge,8.00 mi,3600',19800
Ellingwood Point,North Ridge via South Zapata Creek,-,-,40800
Mt. Bierstadt,"Bierstadt, Sawtooth, Evans",7.00 mi,2880',7200
San Luis Peak,Northeast Ridge,13.00 mi,3600',21600
"Group: Redcloud, Sunshine",Northeast Ridge,11.00 mi,4800',18900
"Group: Belford, Oxford, Missouri",Standard,15.00 mi,7720',25800
"Group: Grays, Torreys",Standard,8.00 mi,3600',15600
"Group: Belford, Oxford, Missouri",Missouri Gulch,14.00 mi,7265',33300
San Luis Peak,Northeast Ridge,13.00 mi,3600',14400
Mt. Evans,West Ridge from Summit Lake,4.00 mi,2000',13800
Mt. Bierstadt,West Slopes,7.00 mi,2850',15000
Torreys Peak,West Ridge,9.00 mi,5018',18060
Mt. Antero,West Slopes,9.00 mi,3497',18360
Longs Peak,Keyhole Route,15.00 mi,-,21480
La Plata Peak,Northwest Ridge,10.00 mi,3963',19949
"Group: Shavano, Tabeguache",Tabeguache Peak Via Mt Shavano East Slopes,11.00 mi,5600',27900
"Group: Evans, Sawtooth, Bierstadt",Guanella pass TH,-,-,2400
"Group: Uncompahgre, Wetterhorn",Matterhorn TH Wetterhorn to Uncompahgre,17.00 mi,6100',39600
Mt. Massive,East Slopes,15.00 mi,4300',32400
"Group: Challenger, Kit Carson",Kit Carson Peak  Via Challenger Point,15.00 mi,6795',34801
"Group: Belford, Oxford",northwest ridge,11.00 mi,6000',36000
Mt. Elbert,Northeast Ridge,9.00 mi,4700',34200
Crestone Peak,South Face,4.00 mi,3850',24000
Crestone Needle,South Face,2.00 mi,2537',16800
Mt. Lindsey,Northwest Ridge,8.00 mi,3500',23160
Mt. Sherman,Southwest Ridge,6.00 mi,-,14160
"Group: Shavano, Tabeguache",Shav/tab standard route,11.00 mi,5600',19620
Mt. Princeton,East Slopes,10.00 mi,5400',25800
Pyramid Peak,Northeast Ridge,8.00 mi,4500',12168
Mt. Belford,Northwest Ridge,8.00 mi,4500',12000
Mt. Massive,East Slopes,14.00 mi,4500',12257
Redcloud Peak,Northeast Ridge,9.00 mi,3700',17700
"Group: Shavano, Tabeguache",Tabeguache via shavano,11.00 mi,5159',30240
"Group: Shavano, Tabeguache",Tabeguache via shavano,11.00 mi,5159',30240
"Group: Grays, Torreys",Via Kelso Ridge,8.00 mi,3600',18820
Mt. Princeton,East Slopes,6.00 mi,3200',16200
Pikes Peak,Northwest Slopes,14.00 mi,4300',24000
Mt. Massive,East Slopes,14.00 mi,4500',10476
El Diente Peak,South Slopes,12.00 mi,4046',35100
"Group: Shavano, Tabeguache",East Slopes,11.00 mi,5600',22430
"Group: Castle, Conundrum",Standard,6.00 mi,2717',22980
Mt. Belford,Northwest Ridge,10.00 mi,4285',24240
Missouri Mountain,Northwest Ridge,11.00 mi,4423',24480
Mt. Massive,East Slopes,14.00 mi,4268',30600
Mt. of the Holy Cross,North Ridge,13.00 mi,5052',40260
Longs Peak,Keyhole Route,14.00 mi,5100',33300
Quandary Peak,East Ridge,6.00 mi,3450',16380
Mt. Elbert,East Ridge,10.00 mi,4100',39600
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron Loop,7.00 mi,3727',17940
Capitol Peak,Northeast Ridge,17.00 mi,5300',16187
"Group: Evans, Sawtooth, Bierstadt",Sawtooth combo,14.00 mi,4200',46800
Mt. Elbert,Northeast Ridge,10.00 mi,4332',28800
Quandary Peak,East Ridge,-,-,12180
Mt. Bierstadt,West Slopes,7.00 mi,2351',18681
